species_id,species_name,species_types,species_features,location_id
1,Боболаки,,Острые когти Острые зубы Отличный от человеческого метаболизм,439
2,Вампиры,Плюмард Гаркаин Протофледер Фледер Экимма Альп Брукса Гаркаин вожак Муля Катакан Носферат,Скрытие истинной натуры Маскировка под людей Телепатические способности Трансформация своего тела,229
3,Водяные,,Длинные когтистые пальцы Выпученные рыбьи глаза Широкие пасти с заострёнными клыками Плавники и хвост,49
4,Враны,,Гуманоидные разумные ящеры,251
5,Гномы,,Ловкость сообразительность Длинные носы вдвое длиннее человеческих Металлургические и ювелирные навыки,107
6,Драконы,Белые драконы Зеленые драконы Золотые драконы Красные драконы Скальные драконы Черные драконы,Огромные размеры Покрытые чешуей тела Способность летать на широких нетопыриных крыльях Высокий интеллек,200
7,Краснолюды,,Мужчины часто бреют головы а бороды заплетают замысловатыми узорами,9
8,Люди,Ведьмаки Полуэльфы Четвертьэльфы,Люди отличались своей воинственностью лицемерием и склонностью к расизму,404
9,Низушки,,Ниже людей но не настолько как гномы,773
10,Нимфы,Дриады (Гамадриады) Ореады Лимониады Нереиды Русалки,Исключительно женская раса,823
11,Эльфы,Полуэльфы Квартероны,зубы ровные без клыков уши удлиненные заостренные сверху тела стройные гибкие  черты лица тонкие красивые (на человеческий вкус) лицо без усов и бороды отличаются высокомерием и надменностью,265
