location_id,location_name,location_type,location_place,quest_id
1,Bloed Carn,Руины,Неизвестно,
2,Tedd Deireadh,Хитроумная конструкция,Другой мир,582
3,Tor Gvalch'ca,Башня,Северо-западная оконечность Ундвика,3
4,«Зал воинов»,Корчма,Деревня Ларвик,501
5,«Змея и Рубин»,ТавернаВинодельня,Верхний город,
6,«Книги и свитки»,Книжная лавка,Рынок на площади Иерарха,605
7,«Колокола Боклера»,Бордель,Порт Боклера,
8,«Лис-Хитролис»,Таверна,Боклер,87
9,«Рыхлый Трюфель»,Таверна,Северные королевства,
10,«Фазанерия»,Таверна,Боклер Туссент,
11,Аллея висельников,Дорога,К западу от Больших Сучьев,169
12,Алтарь Вейопатиса,Статуя,Леса Флотзама,567
13,Альдерсберг,Город,Неизвестно,
14,Амфитеатр Лок Муинне,Развалины амфитеатра,Неизвестно,
15,Ан Скеллиг,Остров,К северо-востоку от Ард Скеллига и Спикероога,
16,Ардварк,Гора,Ан Скеллиг,62
17,Арена (Ведьмак 2),Арена,Темерия,
18,Арена Ублюдка Младшего,Арена для боев,Обрезки,443
19,Армуш,Горы,Недалеко от Яруги,
20,Аукционный дом Братьев Борсоди,Здание,Север Оксенфурта,560
21,Бабий Дол,Посёлок,К юго-востоку от Грани Бороса,
22,Багряная роща,Роща,Неизвестно,
23,База охотников за колдуньями,Казармы,Доки в Новиграде,592
24,База Саламандр,Хитроумная конструкция,Неизвестно,
25,Банк Вивальди,Банк,Площадь Иерарха,122
26,Банк Чианфанелли,Банк,Верхний город Боклер,282
27,Бастион,Форт,Долина Каэр Морхен,13
28,Бастой,Руины,Склоны Горгоны к западу от озера Селяви,56
29,Башка тролля,Гора,К северу от Каэр Морхена,502
30,Башня мага,Башня,Левый берег Вызимы,613
31,Башня палача,Башня,Старая Вызима,31
32,Безопасный приют (Храмовый квартал),Хитроумная конструкция,Неизвестно,
33,Бельгаард,Винодельня,К юго-востоку от Боклера,88
34,Берег Озера,Хитроумная конструкция,Неизвестно,
35,Берег погибших кораблей,Побережье,Запад Велена,593
36,Биндюга,Деревня,Неизвестно,
37,Блокпост Ордена,Пост,Храмовый квартал,307
38,Боклерский дворец,Дворец,Боклер Туссент,
39,Большая топь,Область,Юг Велена,
40,Бондарь,Город,Неизвестно,
41,Бордель «Горячие бёдра»,Хитроумная конструкция,Неизвестно,
42,Бордель Флотзама,Бордель,Неизвестно,
43,Бочарные ворота,Ворота,Верхний город,
44,Бочарня на склонах,Поселение,Склоны Горгоны к западу от тюрьмы Бастой,
45,Брошенная лесопилка,Лесопилка,Ард Скеллиг,181
46,Быстрое перемещение,Хитроумная конструкция,Неизвестно,
47,Вдовий грот,Пещера,К северо-западу от Урстена,178
48,Велен,Провинция,Северо-запад Темерии,
49,Верген,Город,Долина Понтара,
50,Верментино,Усадьба,Долина Сансретура к востоку от Кастель Ровелло,
51,Верхний город,Район города,Боклер,
52,Верхняя мельница,Мельница,К востоку от Броновиц,224
53,Вершины-близнецы,Гора,Угольшток,
54,Ветряная мельница Дульсинеи,Мельница,Долина Сансретура к северу от «Куролиска»,26
